# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
-2.065470515774289015e+04 -1.800019280033638643e+04 1.640276050985210732e-02 4.879562104963573797e-04 5.334741992187500000e+04
1.887678331924089071e+04 -3.540520857609019731e+04 1.521311258220424227e-02 1.206194761415415153e-03 6.155252148437500000e+04
-7.954794533244487866e+03 -9.610649840322919772e+03 1.861181016434219210e-02 3.153847672720550693e-04 5.665798242187500000e+04
-4.133716157334065429e+03 -4.126440518259605597e+04 1.452687286886567009e-02 1.210788594936322831e-03 6.013762890625000000e+04
1.044553524373075925e+04 -2.672725785656703374e+04 1.632224501313481180e-02 9.544587996512218005e-04 6.261539453125000000e+04
5.869395767278269886e+03 -1.044531547315704847e+04 1.896673615158291082e-02 4.447857899622112096e-04 5.334628320312500000e+04
2.351164966986345098e+04 -2.049019522351145497e+04 1.664167552936894959e-02 8.353292193608789599e-04 5.837231054687500000e+04
-1.776047348274658134e+03 -9.536782228878704700e+03 1.908910577054066804e-02 3.614772215257105038e-04 5.670578320312500000e+04
-1.780557006291656944e+04 -5.883831339633284188e+03 1.801699181926016968e-02 1.061144614769430922e-04 6.064802539062500000e+04
9.366167243888945450e+03 1.607791429205567329e+04 1.744663321647164575e-02 -5.185263864917989077e-04 5.770785937500000000e+04
-1.315166115630705099e+04 -8.437762702543441264e+03 1.826015412352494441e-02 2.326126330495209408e-04 6.020923046875000000e+04
-4.340920811953328666e+04 1.851976455771842302e+04 1.543736191523952667e-02 -8.191112221055824863e-04 5.582502148437500000e+04
1.990648901266507528e+04 -2.484699759882506987e+04 1.633754576656374496e-02 9.459272000794488296e-04 5.733332031250000000e+04
-1.746211122992232049e+03 -1.523777150345313385e+04 1.798624538775762602e-02 5.511085702262832073e-04 5.654977929687500000e+04
-1.085647297478573091e+04 -3.370917070018523373e+04 1.513280623215401688e-02 9.901582268197301959e-04 5.326863671875000000e+04
-7.765446701105290231e+03 -2.892134444890260420e+04 1.577549710915710640e-02 8.937662087372975689e-04 6.063579882812500000e+04
2.252822632263724881e+04 -2.914055939123878488e+04 1.578184530820523485e-02 1.067602885656494935e-03 6.325391796875000000e+04
-1.307543800198584540e+04 -2.939908154129528339e+04 1.552419032311364543e-02 8.661162017450893839e-04 6.072583203125000000e+04
4.208336778921677615e+04 -4.692394996393368638e+04 1.371754527102140263e-02 1.525840709274070561e-03 5.803745312500000000e+04
1.681903429698156106e+04 -3.094180776162923576e+04 1.572672127691226301e-02 1.090948033127934862e-03 6.183978515625000000e+04
-4.741535892002520086e+03 2.164625789467215509e+04 1.704912402812609404e-02 -7.850979434462685997e-04 5.335999414062500000e+04
7.962644110909755909e+03 -5.525800392059164551e+03 1.968585763903796942e-02 2.773424104830973032e-04 5.422416601562500000e+04
3.019646634697525224e+04 -1.352053202139555833e+04 1.671119473362401783e-02 6.383897105955631344e-04 6.030676757812500000e+04
1.569526959412642464e+04 -3.544077113892637863e+04 1.525092834725008326e-02 1.193389001065879368e-03 6.250856250000000000e+04
3.748449499503421976e+04 1.017042637743882187e+04 1.571712958713300870e-02 -1.234713825866392059e-04 6.483613085937500000e+04
2.394570396530420112e+04 -2.974541979793256178e+04 1.567419891700367468e-02 1.087584129063387094e-03 5.698829296875000000e+04
1.102350070313684955e+04 -1.916829738553721108e+04 1.735833657498003432e-02 7.488598908708385187e-04 6.430214453125000000e+04
2.768015747442046268e+04 -4.124143336721603555e+04 1.449985742554028671e-02 1.369008336128926025e-03 6.781351562500000000e+04
3.181889715956155851e+04 7.500019622268041530e+03 1.638401048499046539e-02 -7.119508614191334380e-05 6.137152734375000000e+04
1.808149671072785350e+04 -6.302062982334685330e+03 1.836243061002466176e-02 3.523477106599971374e-04 6.371402148437500000e+04
4.715617823164388938e+03 -2.697734417319110435e+04 1.629383631678600619e-02 9.287093909523666188e-04 5.968792578125000000e+04
3.754276850595830911e+04 2.555242986535881937e+04 1.463410027358986489e-02 -5.764042468922040341e-04 4.813119726562500000e+04
2.865605314824682864e+04 -3.221665692371249679e+04 1.527921484406956007e-02 1.163068078248182414e-03 6.303964257812500000e+04
9.714878895071507941e+03 1.391412205704057669e+04 1.775605130240750715e-02 -4.467564246523556275e-04 6.456364062500000000e+04
3.757270435652013111e+04 5.421729081969141589e+03 1.596566031094392296e-02 3.048404803382778828e-05 6.288860546875000000e+04
1.666989316917685210e+04 -1.709417530662973877e+04 1.741245055267278199e-02 7.111687755360050767e-04 6.266838867187500000e+04
4.267003407552702265e+04 -1.697596266765034670e+04 1.555346564632754079e-02 7.719247565261958596e-04 6.459204101562500000e+04
2.960111844403647410e+04 -2.523074806201287720e+04 1.586775291959335865e-02 9.847673340272228727e-04 6.874499804687500000e+04
-2.330514030861670835e+04 -4.459542726073135418e+04 1.373508552161513060e-02 1.147327321428557234e-03 6.362278320312500000e+04
2.079513658182323343e+04 -1.062940484378158180e+04 1.777453102283172576e-02 5.155610190366345658e-04 5.814051367187500000e+04
