# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
1.440856345747173691e+04 1.993102615713675050e+02 1.933174991788029137e-02 9.511251619279062627e-05 6.027135156250000000e+04
5.301406831089371735e+03 -1.827600106323318687e+04 1.746596223381149254e-02 6.747191020343018542e-04 5.672437304687500000e+04
8.389783600073849811e+03 -1.348350870883216339e+04 1.837809569208648242e-02 5.540803555433473481e-04 6.466887890625000000e+04
3.868539203044393798e+04 -1.370008725281617444e+04 1.612942168550212871e-02 6.739479093640587080e-04 6.750378125000000000e+04
3.080083897197734132e+03 -1.396277046016789791e+04 1.835205402065994904e-02 5.349423302264879210e-04 6.479133789062500000e+04
5.824091914515133249e+04 -3.147641296008983409e+04 1.420430620501288155e-02 1.205007696007862365e-03 6.201876562500000000e+04
3.297478127794821921e+04 -1.549947320816069987e+04 1.645269177365780641e-02 7.121861473560428014e-04 6.600565234375000000e+04
1.140973174852418197e+04 3.708204234662563977e+04 1.456483799880741933e-02 -1.023527577437681859e-03 5.691388671875000000e+04
2.411679042024659066e+04 9.912565930884939007e+03 1.730046160624236495e-02 -1.899048886158443902e-04 5.780894921875000000e+04
4.635112419792658329e+04 1.922912518317663853e+03 1.566934690544852932e-02 2.077327776250118506e-04 6.437015234375000000e+04
2.179286657360838944e+04 4.560741725617973862e+04 1.391239395725915769e-02 -1.163318686730952477e-03 6.321653320312500000e+04
8.252427282648895925e+03 5.695151986896529706e+03 1.944534980686039513e-02 -1.628636103682709157e-04 5.561770507812500000e+04
-4.665803389225204228e+03 1.627670207919629138e+04 1.787332856947045773e-02 -6.144926602015329939e-04 6.287602148437500000e+04
1.198457848148981975e+04 -5.802288600682455581e+03 1.936606528205897168e-02 3.110791774134869176e-04 6.618892578125000000e+04
1.612628874204346539e+04 4.293719963168223330e+04 1.410895736310953039e-02 -1.133404866257513603e-03 6.004650000000000000e+04
2.389031363271407372e+03 2.913835191093685717e+04 1.554419736232008978e-02 -8.956713199623950227e-04 6.227632421875000000e+04
-1.097871120671071185e+04 8.465287283888505044e+03 1.912181046565655795e-02 -4.022142245062519357e-04 5.821335546875000000e+04
2.185209757630685272e+04 6.098885812002784223e+04 1.341414217137900516e-02 -1.539272132504339047e-03 4.721690625000000000e+04
1.296079046951157943e+04 3.221890433361077612e+03 1.930408907670767144e-02 -3.236486999576848464e-05 6.172623632812500000e+04
-5.973210247606306439e+03 4.935773799640477955e+04 1.391094800439769685e-02 -1.412561725235217261e-03 6.309667382812500000e+04
2.188352867651641645e+04 4.086072633095076890e+04 1.414957982291873383e-02 -1.047135073208050552e-03 6.154101367187500000e+04
9.794282382353030698e+02 1.834875542126409346e+04 1.739080215027200699e-02 -6.339721569444650272e-04 6.109988867187500000e+04
2.697466856019415354e+04 1.845920281262290882e+04 1.596554328732004494e-02 -4.321692359149068474e-04 6.315261132812500000e+04
1.390653911847565178e+04 1.020784920480887740e+04 1.826768392697520824e-02 -2.802174616889384134e-04 6.699000781250000000e+04
-3.900407316201629146e+04 -9.150759203798112139e+03 1.593676991531106299e-02 6.298415393451471732e-05 6.198710742187500000e+04
5.103355249778516736e+03 2.481151168374556801e+04 1.611715447097902473e-02 -7.722364275101093823e-04 5.679499804687500000e+04
